ticker,exchange,name,asset_type,type,sector,industry,status
ADSE.US,NASDAQ,Ads Tec Energy PLC,Common Stock,Common Stock,,,active
ADSK.US,NASDAQ,Autodesk Inc,Common Stock,Common Stock,,,active
ADTN.US,NASDAQ,ADTRAN Inc,Common Stock,Common Stock,,,active
ADTX.US,NASDAQ,Aditxt Inc. ,Common Stock,Common Stock,,,active
ADUS.US,NASDAQ,Addus HomeCare Corporation,Common Stock,Common Stock,,,active
ADV.US,NASDAQ,Advantage Solutions Inc,Common Stock,Common Stock,,,active
ADVB.US,NASDAQ,Advanced Biomed Inc. Common Stock,Common Stock,Common Stock,,,active
ADXN.US,NASDAQ,Addex Therapeutics Ltd,Common Stock,Common Stock,,,active
AEAE.US,NASDAQ,Altenergy Acquisition Corp,Common Stock,Common Stock,,,active
AEAQ.US,NASDAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,Common Stock,Common Stock,,,active
AEAQW.US,NASDAQ,Activate Energy Acquisition Corp. Warrant,Common Stock,Common Stock,,,active
AEBI.US,NASDAQ,Aebi Schmidt Holding AG - Common Stock,Common Stock,Common Stock,,,active
AEC.US,NASDAQ,Anfield Energy Inc.,Common Stock,Common Stock,,,active
AEHL.US,NASDAQ,Antelope Enterprise Holdings Ltd,Common Stock,Common Stock,,,active
AEHR.US,NASDAQ,Aehr Test Systems,Common Stock,Common Stock,,,active
AEI.US,NASDAQ,Alset Ehome International Inc,Common Stock,Common Stock,,,active
AEIS.US,NASDAQ,Advanced Energy Industries Inc,Common Stock,Common Stock,,,active
AEMD.US,NASDAQ,Aethlon Medical Inc,Common Stock,Common Stock,,,active
AENT.US,NASDAQ,Alliance Entertainment Holding Corporation Class A Common Stock,Common Stock,Common Stock,,,active
AENTW.US,NASDAQ,Alliance Entertainment Holding Corporation Warrants,Common Stock,Common Stock,,,active
AEP.US,NASDAQ,American Electric Power Co Inc,Common Stock,Common Stock,,,active
AERT.US,NASDAQ,Aeries Technology Inc.,Common Stock,Common Stock,,,active
AERTW.US,NASDAQ,Aeries Technology Inc.,Common Stock,Common Stock,,,active
AEVA.US,NASDAQ,"Aeva Technologies, Inc. Common Stock",Common Stock,Common Stock,,,active
AEXA.US,NYSE,American Exceptionalism Acquisition Corp. A,Common Stock,,,,active
AEYE.US,NASDAQ,AudioEye Inc,Common Stock,Common Stock,,,active
AFBI.US,NASDAQ,Affinity Bancshares Inc,Common Stock,Common Stock,,,active
AFCG.US,NASDAQ,AFC Gamma Inc,Common Stock,Common Stock,,,active
AFJK.US,NASDAQ,"Aimei Health Technology Co., Ltd Ordinary Share",Common Stock,Common Stock,,,active
AFJKR.US,NASDAQ,"Aimei Health Technology Co., Ltd Right",Common Stock,Common Stock,,,active
AFJKU.US,NASDAQ,"Aimei Health Technology Co., Ltd Unit",Common Stock,Common Stock,,,active
AFRI.US,NASDAQ,Forafric Global PLC Ordinary Shares,Common Stock,Common Stock,,,active
AFRIW.US,NASDAQ,Forafric Global PLC Warrants,Common Stock,Common Stock,,,active
AFRM.US,NASDAQ,Affirm Holdings Inc,Common Stock,Common Stock,,,active
AFYA.US,NASDAQ,Afya Ltd,Common Stock,Common Stock,,,active
AGAE.US,NASDAQ,Allied Gaming & Entertainment Inc.,Common Stock,Common Stock,,,active
AGCC.US,NASDAQ,Agencia Comercial Spirits Ltd Class A Ordinary Shares,Common Stock,Common Stock,,,active
AGEN.US,NASDAQ,Agenus Inc,Common Stock,Common Stock,,,active
AGH.US,NASDAQ,Aureus Greenway Holdings Inc. Common Stock,Common Stock,Common Stock,,,active
AGIO.US,NASDAQ,Agios Pharm,Common Stock,Common Stock,,,active
AGMB.US,NASDAQ,AgomAb Therapeutics NV American Depositary Shares,Common Stock,Common Stock,,,active
AGMH.US,NASDAQ,AGM Group Holdings Inc Class A,Common Stock,Common Stock,,,active
AGNC.US,NASDAQ,AGNC Investment Corp,Common Stock,Common Stock,,,active
AGNCL.US,NASDAQ,AGNC Investment Corp,Common Stock,Common Stock,,,active
AGNCZ.US,NASDAQ,AGNC Investment Corp. 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,Common Stock,Common Stock,,,active
AGPU.US,NASDAQ,Axe Compute Inc.,Common Stock,Common Stock,,,active
AGRZ.US,NASDAQ,Agroz Inc. Ordinary Shares,Common Stock,Common Stock,,,active
AGYS.US,NASDAQ,Agilysys Inc,Common Stock,Common Stock,,,active
AHCO.US,NASDAQ,Adapthealth Corp,Common Stock,Common Stock,,,active
AHG.US,NASDAQ,Akso Health Group ADR,Common Stock,Common Stock,,,active
AHMA.US,NASDAQ,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,Common Stock,Common Stock,,,active
AIFF.US,NASDAQ,"Firefly Neuroscience, Inc.",Common Stock,Common Stock,,,active
AIFU.US,NASDAQ,Fanhua Inc.,Common Stock,Common Stock,,,active
AIHS.US,NASDAQ,Senmiao Technology Ltd,Common Stock,Common Stock,,,active
AIIO.US,NASDAQ,Robo.ai Inc.,Common Stock,Common Stock,,,active
AILE.US,NASDAQ,"iLearningEngines, Inc.",Common Stock,Common Stock,,,active
AILEQ.US,NASDAQ,"iLearningEngines, Inc.",Common Stock,Common Stock,,,active
AIMD.US,NASDAQ,Ainos Inc,Common Stock,Common Stock,,,active
AIMDW.US,NASDAQ,Ainos Inc.,Common Stock,Common Stock,,,active
AIOT.US,NASDAQ,"PowerFleet, Inc.",Common Stock,Common Stock,,,active
AIP.US,NASDAQ,Arteris Inc,Common Stock,Common Stock,,,active
AIRE.US,NASDAQ,reAlpha Tech Corp. Common Stock,Common Stock,Common Stock,,,active
AIRG.US,NASDAQ,Airgain Inc,Common Stock,Common Stock,,,active
AIRJ.US,NASDAQ,Montana Technologies Corporation,Common Stock,Common Stock,,,active
AIRJW.US,NASDAQ,Montana Technologies Corporation,Common Stock,Common Stock,,,active
AIRO.US,NASDAQ,"AIRO Group Holdings, Inc. Common Stock",Common Stock,Common Stock,,,active
AIRS.US,NASDAQ,Airsculpt Technologies Inc,Common Stock,Common Stock,,,active
AIRT.US,NASDAQ,Air T Inc,Common Stock,Common Stock,,,active
AISP.US,NASDAQ,Airship AI Holdings Inc,Common Stock,Common Stock,,,active
AISPW.US,NASDAQ,Airship AI Holdings Inc,Common Stock,Common Stock,,,active
AIXC.US,NASDAQ,"AIxCrypto Holdings, Inc.",Common Stock,Common Stock,,,active
AIXI.US,NASDAQ,XIAO-I Corporation American Depositary Shares,Common Stock,Common Stock,,,active
AIZN.US,NYSE,Assurant Inc,Common Stock,,,,active
AKAM.US,NASDAQ,Akamai Technologies Inc,Common Stock,Common Stock,,,active
AKAN.US,NASDAQ,Akanda Corp,Common Stock,Common Stock,,,active
AKBA.US,NASDAQ,Akebia Ther,Common Stock,Common Stock,,,active
AKTS.US,NASDAQ,"Aktis Oncology, Inc. Common stock",Common Stock,Common Stock,,,active
AKTX.US,NASDAQ,Akari Therapeutics PLC,Common Stock,Common Stock,,,active
ALAB.US,NASDAQ,"Astera Labs, Inc.",Common Stock,Common Stock,,,active
ALAR.US,NASDAQ,Alarum Technologies Ltd.,Common Stock,Common Stock,,,active
ALBT.US,NASDAQ,Avalon GloboCare Corp.,Common Stock,Common Stock,,,active
ALCO.US,NASDAQ,Alico Inc,Common Stock,Common Stock,,,active
ALCY.US,NASDAQ,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Common Stock,Common Stock,,,active
ALCYU.US,NASDAQ,Alchemy Investments Acquisition Corp 1 Units,Common Stock,Common Stock,,,active
ALCYW.US,NASDAQ,Alchemy Investments Acquisition Corp 1 Warrants,Common Stock,Common Stock,,,active
ALDF.US,NASDAQ,Aldel Financial II Inc. Class A Ordinary Shares,Common Stock,Common Stock,,,active
ALDFU.US,NASDAQ,Aldel Financial II Inc. Units,Common Stock,Common Stock,,,active
ALDX.US,NASDAQ,Aldeyra The,Common Stock,Common Stock,,,active
ALEC.US,NASDAQ,Alector Inc,Common Stock,Common Stock,,,active
ALF.US,NASDAQ,Centurion Acquisition Corp.,Common Stock,Common Stock,,,active
ALFUU.US,NASDAQ,Centurion Acquisition Corp. Unit,Common Stock,Common Stock,,,active
ALFUW.US,NASDAQ,Centurion Acquisition Corp. Warrant,Common Stock,Common Stock,,,active
ALGM.US,NASDAQ,Allegro Microsystems Inc,Common Stock,Common Stock,,,active
ALGN.US,NASDAQ,Align Technology Inc,Common Stock,Common Stock,,,active
ALGS.US,NASDAQ,Aligos Therapeutics Inc,Common Stock,Common Stock,,,active
ALGT.US,NASDAQ,Allegiant Travel Company,Common Stock,Common Stock,,,active
ALHC.US,NASDAQ,Alignment Healthcare LLC,Common Stock,Common Stock,,,active
ALIS.US,NASDAQ,Calisa Acquisition Corp Ordinary shares,Common Stock,Common Stock,,,active
ALKS.US,NASDAQ,Alkermes Plc,Common Stock,Common Stock,,,active
ALKT.US,NASDAQ,Alkami Technology Inc,Common Stock,Common Stock,,,active
ALLO.US,NASDAQ,Allogene Therapeutics Inc,Common Stock,Common Stock,,,active
