symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
PALD,PALD.US,NASDAQ,Common Stock,,,,Direxion Daily PANW Bear 1X Shares
PALU,PALU.US,NASDAQ,Common Stock,,,,Direxion Daily PANW Bull 2X Shares
PBMWW,PBMWW.US,NASDAQ,Common Stock,,,,Psyence Biomedical Ltd. Warrant
PCTTW,PCTTW.US,NASDAQ,Common Stock,,,,PureCycle Technologies Inc
PDYNW,PDYNW.US,NASDAQ,Common Stock,,,,Palladyne AI Corp
PGYWW,PGYWW.US,NASDAQ,Common Stock,,,,Pagaya Technologies Ltd. Warrants
PIIIW,PIIIW.US,NASDAQ,Common Stock,,,,P3 Health Partners Inc
PMTU,PMTU.US,NYSE,Common Stock,,,,PennyMac Mortgage Investment Tr
PMTV,PMTV.US,NYSE,Common Stock,,,,PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030
PMTW,PMTW.US,NYSE,Common Stock,,,,PennyMac Mortgage Investment Trust
PNFP-PR-A,PNFP-PR-A.US,NYSE,Common Stock,,,,PINNACLE FINANCIAL PARTNERS NON CU
PNFP-PR-B,PNFP-PR-B.US,NYSE,Common Stock,,,,PINNACLE FINANCIAL PARTNERS NON CU
PNFP-PR-C,PNFP-PR-C.US,NYSE,Common Stock,,,,PINNACLE FINANCIAL PARTNERS DEPOSI
POLEW,POLEW.US,NASDAQ,Common Stock,,,,Andretti Acquisition Corp. II Warrant
PRENW,PRENW.US,NASDAQ,Common Stock,,,,Prenetics Holding Company Limited
PRHIZ,PRHIZ.US,NASDAQ,Common Stock,,,,"Presurance Holdings, Inc."
PTIXW,PTIXW.US,NASDAQ,Common Stock,,,,Protagenic Therapeutics Inc
QETAR,QETAR.US,NASDAQ,Common Stock,,,,Quetta Acquisition Corporation Right
QSEAR,QSEAR.US,NASDAQ,Common Stock,,,,Quartzsea Acquisition Corporation
QSIAW,QSIAW.US,NASDAQ,Common Stock,,,,Quantum-Si incorporated
RAAQW,RAAQW.US,NASDAQ,Common Stock,,,,Real Asset Acquisition Corp.
RANGR,RANGR.US,NASDAQ,Common Stock,,,,Range Capital Acquisition Corp. Rights
RBSTF,RBSTF.US,NYSE,Common Stock,,,,ROBOSENSE TECHNOLOGY CO
RDACR,RDACR.US,NASDAQ,Common Stock,,,,Rising Dragon Acquisition Corp. Rights
RDZNW,RDZNW.US,NASDAQ,Common Stock,,,,Roadzen Inc
RELIW,RELIW.US,NASDAQ,Common Stock,,,,Reliance Global Group Inc
REVBW,REVBW.US,NASDAQ,Common Stock,,,,Revelation Biosciences Inc
RFAIR,RFAIR.US,NASDAQ,Common Stock,,,,RF Acquisition Corp II Right
RGTIW,RGTIW.US,NASDAQ,Common Stock,,,,Rigetti Computing Inc. Warrants
RIBBR,RIBBR.US,NASDAQ,Common Stock,,,,Ribbon Acquisition Corp Rights
RMCOW,RMCOW.US,NASDAQ,Common Stock,,,,Royalty Management Holding Corporation
RMSG,RMSG.US,NASDAQ,Common Stock,,,,Real Messenger Corporation Ordinary Shares
RNGT,RNGT.US,NASDAQ,Common Stock,,,,Range Capital Acquisition Corp II Class A Ordinary Shares
RNWWW,RNWWW.US,NASDAQ,Common Stock,,,,ReNew Energy Global plc Warrant
RSVRW,RSVRW.US,NASDAQ,Common Stock,,,,Reservoir Media Management Inc
RUMBW,RUMBW.US,NASDAQ,Common Stock,,,,Rumble Inc.
RVSNW,RVSNW.US,NASDAQ,Common Stock,,,,Rail Vision Ltd. Warrant
RWAYL,RWAYL.US,NASDAQ,Common Stock,,,,MSCI ACWI exAU/CONSUMER GRTR US
RWTN,RWTN.US,NYSE,Common Stock,,,,"Redwood Trust, Inc. 9.125%"
RWTO,RWTO.US,NYSE,Common Stock,,,,"Redwood Trust, Inc. 9.00% Senio"
RWTP,RWTP.US,NYSE,Common Stock,,,,"Redwood Trust, Inc."
RWTQ,RWTQ.US,NYSE,Common Stock,,,,"Redwood Trust, Inc."
RZB,RZB.US,NYSE,Common Stock,,,,Reinsurance Group of America Inc
RZLVW,RZLVW.US,NASDAQ,Common Stock,,,,Rezolve AI Limited Warrants
SAAQU,SAAQU.US,NASDAQ,Common Stock,,,,Space Asset Acquisition Corp. Units
SABSW,SABSW.US,NASDAQ,Common Stock,,,,SAB Biotherapeutics Inc
SAIHW,SAIHW.US,NASDAQ,Common Stock,,,,SAIHEAT Limited
SAJ,SAJ.US,NYSE,Common Stock,,,,Saratoga Investment Corp 8.00%
SAT,SAT.US,NYSE,Common Stock,,,,Saratoga Investment Corp 6.00%
SATLW,SATLW.US,NASDAQ,Common Stock,,,,Satellogic Inc. Warrant
SAY,SAY.US,NYSE,Common Stock,,,,Saratoga Investment Corp 8.125%
SAZ,SAZ.US,NYSE,Common Stock,,,,Saratoga Investment Corp 8.50%
SBCWW,SBCWW.US,NASDAQ,Common Stock,,,,SBC Medical Group Holdings Incorporated
SBFMW,SBFMW.US,NASDAQ,Common Stock,,,,Sunshine Biopharma Inc. Warrant
SCE-PM,SCE-PM.US,NYSE,Common Stock,,,,SCE Trust VII
SCII,SCII.US,NASDAQ,Common Stock,,,,SC II Acquisition Corp. Class A ordinary share
SCIIR,SCIIR.US,NASDAQ,Common Stock,,,,SC II Acquisition Corp. Rights
SCLXW,SCLXW.US,NASDAQ,Common Stock,,,,Scilex Holding Company
SDSTW,SDSTW.US,NASDAQ,Common Stock,,,,Stardust Power Inc.
SEATW,SEATW.US,NASDAQ,Common Stock,,,,Vivid Seats Inc. Warrant
SEV,SEV.US,NASDAQ,Common Stock,,,,Aptera Motors Corp. Class B Common Stock
SHFSW,SHFSW.US,NASDAQ,Common Stock,,,,SHF Holdings Inc
SHMDW,SHMDW.US,NASDAQ,Common Stock,,,,SCHMID Group N.V. Warrants
SI,SI.US,NYSE,Common Stock,,,,"Shoulder Innovations, Inc."
SIMAW,SIMAW.US,NASDAQ,Common Stock,,,,SIM Acquisition Corp. I Warrant
SLDPW,SLDPW.US,NASDAQ,Common Stock,,,,Solid Power Inc
SLXNW,SLXNW.US,NASDAQ,Common Stock,,,,Biomotion Sciences Warrant
SMXWW,SMXWW.US,NASDAQ,Common Stock,,,,SMX (Security Matters) Public Limited Company Warrant
SOJD,SOJD.US,NYSE,Common Stock,,,,Southern Co
SOJE,SOJE.US,NYSE,Common Stock,,,,Southern Company (The) Series 2
SOJF,SOJF.US,NYSE,Common Stock,,,,The Southern Company
SOUNW,SOUNW.US,NASDAQ,Common Stock,,,,SoundHound AI Inc.
SPWRW,SPWRW.US,NASDAQ,Common Stock,,,,"Complete Solaria, Inc."
SRJN,SRJN.US,NYSE,Common Stock,,,,SRJN
SRZNW,SRZNW.US,NASDAQ,Common Stock,,,,Surrozen Inc. Warrant
SVREW,SVREW.US,NASDAQ,Common Stock,,,,SaverOne 2014 Ltd. Warrant
SZZLR,SZZLR.US,NASDAQ,Common Stock,,,,Sizzle Acquisition Corp. II
TACHW,TACHW.US,NASDAQ,Common Stock,,,,Titan Acquisition Corp
TAVIR,TAVIR.US,NASDAQ,Common Stock,,,,Tavia Acquisition Corp. Right
TBB,TBB.US,NYSE,Common Stock,,,,AT&T Inc
TBLAW,TBLAW.US,NASDAQ,Common Stock,,,,Taboola.com Ltd. Warrant
TBMCR,TBMCR.US,NASDAQ,Common Stock,,,,Trailblazer Merger Corporation I Rights
TCPA,TCPA.US,NYSE,Common Stock,,,,TCPA
TDWD,TDWD.US,NASDAQ,Common Stock,,,,Tailwind 2.0 Acquisition Corp. Class A Ordinary Shares
TFSA,TFSA.US,NYSE,Common Stock,,,,"Terra Income Fund 6, LLC 7.00%"
THIR,THIR.US,NYSE,Common Stock,,,,THOR Financial Technologies Trust
TLSIW,TLSIW.US,NASDAQ,Common Stock,,,,TriSalus Life Sciences Inc.
TMCWW,TMCWW.US,NASDAQ,Common Stock,,,,TMC the metals company Inc Warrants
TMUSI,TMUSI.US,NASDAQ,Common Stock,,,,"T-Mobile US, Inc. 5.500% Senior Notes due June 2070"
TMUSL,TMUSL.US,NASDAQ,Common Stock,,,,"T-Mobile US, Inc. 6.250% Senior Notes due 2069"
TMUSZ,TMUSZ.US,NASDAQ,Common Stock,,,,"T-Mobile US, Inc. 5.500% Senior Notes due March 2070"
TOIIW,TOIIW.US,NASDAQ,Common Stock,,,,The Oncology Institute Inc
TPTA,TPTA.US,NYSE,Common Stock,,,,"Terra Property Trust, Inc. 6.00%"
TRINI,TRINI.US,NASDAQ,Common Stock,,,,Trinity Capital Inc. 7.875% Notes Due 2029
TVACW,TVACW.US,NASDAQ,Common Stock,,,,Thayer Ventures Acquisition Corporation
TVGNW,TVGNW.US,NASDAQ,Common Stock,,,,Tevogen Bio Holdings Inc
TWOD,TWOD.US,NYSE,Common Stock,,,,Two Harbors Investment Corp.
UNMA,UNMA.US,NYSE,Common Stock,,,,Unum Group
UYSCR,UYSCR.US,NASDAQ,Common Stock,,,,UY Scuti Acquisition Corp.
UZD,UZD.US,NYSE,Common Stock,,,,United States Cellular Corporat
UZE,UZE.US,NYSE,Common Stock,,,,United States Cellular Preferred 5.500% due 2070
UZF,UZF.US,NYSE,Common Stock,,,,United States Cellular Corporat
VACHW,VACHW.US,NASDAQ,Common Stock,,,,Voyager Acquisition Corp.
VCICW,VCICW.US,NASDAQ,Common Stock,,,,Vine Hill Capital Investment Corp. Warrant
VEEAW,VEEAW.US,NASDAQ,Common Stock,,,,Veea Inc
VFSWW,VFSWW.US,NASDAQ,Common Stock,,,,VinFast Auto Ltd. Warrant
VSEEW,VSEEW.US,NASDAQ,Common Stock,,,,"VSee Health, Inc."
WALDW,WALDW.US,NASDAQ,Common Stock,,,,Waldencast Acquisition Corp
WENN,WENN.US,NASDAQ,Common Stock,,,,Wen Acquisition Corp Class A Ordinary Shares
WENNU,WENNU.US,NASDAQ,Common Stock,,,,WENNU
WGSWW,WGSWW.US,NASDAQ,Common Stock,,,,GeneDx Holdings Corp.
WLDSW,WLDSW.US,NASDAQ,Common Stock,,,,Wearable Devices Ltd.
XAGEW,XAGEW.US,NASDAQ,Common Stock,,,,"Longevity Health Holdings, Inc."
XBPEW,XBPEW.US,NASDAQ,Common Stock,,,,XBP Europe Holdings Inc
XCBEU,XCBEU.US,NASDAQ,Common Stock,,,,X3 Acquisition Corp. Ltd. Unit
XELLL,XELLL.US,NASDAQ,Common Stock,,,,"Xcel Energy Inc. 6.25% Junior Subordinated Notes, Series due 2085"
XOMX,XOMX.US,NASDAQ,Common Stock,,,,Direxion Daily XOM Bull 2X Shares
XOMZ,XOMZ.US,NASDAQ,Common Stock,,,,Direxion Daily XOM Bear 1X Shares
YHNAR,YHNAR.US,NASDAQ,Common Stock,,,,YHN Acquisition I Limited Right
ZEOWW,ZEOWW.US,NASDAQ,Common Stock,,,,Zeo Energy Corp
ZOOZW,ZOOZW.US,NASDAQ,Common Stock,,,,ZOOZ Power Ltd. Warrant
