symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
BOEU,BOEU.US,NASDAQ,Common Stock,,,,Direxion Daily BA Bull 2X Shares
BRK.B,BRK.B.US,NYSE,Common Stock,,,,Berkshire Hathaway Inc
BRLSW,BRLSW.US,NASDAQ,Common Stock,,,,Borealis Foods Inc
BRRWW,BRRWW.US,NASDAQ,Common Stock,,,,Columbus Circle Capital Corp I
BSLKW,BSLKW.US,NASDAQ,Common Stock,,,,"Bolt Projects Holdings, Inc."
BTTC,BTTC.US,NASDAQ,Common Stock,,,,Black Titan Corporation
BWNB,BWNB.US,NYSE,Common Stock,,,,Babcock & Wilcox Enterprises Inc.
BZAIW,BZAIW.US,NASDAQ,Common Stock,,,,"Blaize Holdings, Inc. Warrants"
BZFDW,BZFDW.US,NASDAQ,Common Stock,,,,BuzzFeed
CAPNR,CAPNR.US,NASDAQ,Common Stock,,,,Cayson Acquisition Corp Right
CAPTW,CAPTW.US,NASDAQ,Common Stock,,,,Captivision Inc. Warrant
CCCXW,CCCXW.US,NASDAQ,Common Stock,,,,Churchill Capital Corp X Warrants
CCGWW,CCGWW.US,NASDAQ,Common Stock,,,,Cheche Group Inc. Warrant
CCIXW,CCIXW.US,NASDAQ,Common Stock,,,,Churchill Capital Corp IX Warrant
CDIOW,CDIOW.US,NASDAQ,Common Stock,,,,Cardio Diagnostics Holdings Inc
CDTTW,CDTTW.US,NASDAQ,Common Stock,,,,Conduit Pharmaceuticals Inc.
CELUW,CELUW.US,NASDAQ,Common Stock,,,,Celularity Inc
CEROW,CEROW.US,NASDAQ,Common Stock,,,,CERo Therapeutics Holdings Inc
CHACR,CHACR.US,NASDAQ,Common Stock,,,,Crane Harbor Acquisition Corp.
CHARR,CHARR.US,NASDAQ,Common Stock,,,,Charlton Aria Acquisition Corporation Rights
CICB,CICB.US,NYSE,Common Stock,,,,CION Investment Corporation
CIMN,CIMN.US,NYSE,Common Stock,,,,Chimera Investment Corporation
CIMO,CIMO.US,NYSE,Common Stock,,,,Chimera Investment Corporation
CIMP,CIMP.US,NYSE,Common Stock,,,,CIMP
CINGW,CINGW.US,NASDAQ,Common Stock,,,,Cingulate Inc. Warrants
CLSKW,CLSKW.US,NASDAQ,Common Stock,,,,"CleanSpark, Inc. Warrant"
COCHW,COCHW.US,NASDAQ,Common Stock,,,,Envoy Medical Inc.
COOTW,COOTW.US,NASDAQ,Common Stock,,,,Australian Oilseeds Holdings Limited Warrant
CORZZ,CORZZ.US,NASDAQ,Common Stock,,,,"Core Scientific, Inc. Tranche 2 Warrants"
CRAC,CRAC.US,NASDAQ,Common Stock,,,,Crown Reserve Acquisition Corp. I Class A Ordinary Shares
CRANR,CRANR.US,NASDAQ,Common Stock,,,,Crane Harbor Acquisition Corp. II Rights
CRAQ,CRAQ.US,NASDAQ,Common Stock,,,,Cal Redwood Acquisition Corp. Class A Ordinary Shares
CRAQU,CRAQU.US,NASDAQ,Common Stock,,,,Cal Redwood Acquisition Corp.
CRBD,CRBD.US,NYSE,Common Stock,,,,Corebridge Financial Inc. 6.375
CRESW,CRESW.US,NASDAQ,Common Stock,,,,Cresud S.A.C.I.F. y A. Warrant
CREVW,CREVW.US,NASDAQ,Common Stock,,,,Carbon Revolution Public Limited Company Warrant
CRGOW,CRGOW.US,NASDAQ,Common Stock,,,,Freightos Limited Warrants
CRMLW,CRMLW.US,NASDAQ,Common Stock,,,,Critical Metals Corp. Warrants
CSTWF,CSTWF.US,NYSE,Common Stock,,,,Constellation Acquisition Corp I
CTBB,CTBB.US,NYSE,Common Stock,,,,Qwest Corp. NT
CTDD,CTDD.US,NYSE,Common Stock,,,,Qwest Corp 6 75 Notes Expiry 2057
CUBB,CUBB.US,NYSE,Common Stock,,,,Customers Bancorp Inc
CUBWW,CUBWW.US,NASDAQ,Common Stock,,,,Lionheart Holdings Warrant
DAAQW,DAAQW.US,NASDAQ,Common Stock,,,,Digital Asset Acquisition Corp.
DAVEW,DAVEW.US,NASDAQ,Common Stock,,,,Dave Inc. Warrants
DCOMG,DCOMG.US,NASDAQ,Common Stock,,,,"Dime Community Bancshares, Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034"
DFLIW,DFLIW.US,NASDAQ,Common Stock,,,,Chardan NexTech Acquisition 2 Corp
DHAIW,DHAIW.US,NASDAQ,Common Stock,,,,"DIH Holding US, Inc. Warrants"
DISTR,DISTR.US,NASDAQ,Common Stock,,,,Distoken Acquisition Corporation Right
